station,name,lon,lat,trafic,main,ratpId,ratpx,ratpy,corr
207,Pont-Neuf,2.34148800373077,48.8586764078058,1612517,588,1712,3876,4239,0
208,Porte Dauphine,2.276768,48.871545,721009,589,1714,1308,3383,0
209,Porte d'Auteuil,2.25875,48.848025,2562120,590,1717,860,5591,0
210,Porte de Bagnolet,2.407278,48.864565,1903789,591,1721,6868,3791,0
211,Porte de Champerret,2.293487,48.885851,9598097,592,1722,2229,2166,0
212,Porte de Charenton,2.40040004253387,48.8327801635719,2840152,593,1723,6312,5855,0
213,Porte de Choisy,2.36529260873794,48.8203153283429,4751655,594,1724,5316,6610,0
214,Porte de Clichy,2.31365203857421,48.8943454215637,3559682,595,1725,2812,1795,0
215,Porte de Clignancourt,2.34494537115097,48.8970363239049,957771,596,1726,4136,1696,0
216,Porte de la Chapelle,2.35919058322906,48.8972743718563,3116890,597,1734,5008,1727,0
217,Porte de la Villette,2.38587588071823,48.8970892235476,4156619,598,1735,5856,1893,0
218,Porte de Montreuil,2.41224467754364,48.8537915487454,9000298,599,1727,6804,4387,0
219,Porte de Pantin,2.3918142914772,48.8884711335234,3431552,600,1728,6284,2267,0
220,Porte de Saint-Cloud,2.256956,48.838082,3209252,601,1729,1088,6079,0
221,Porte de Saint-Ouen,2.32870995998382,48.8967735881832,4822893,602,1730,3132,1712,0
222,Porte de Vanves,2.30588436126708,48.8279404534009,4477959,603,1731,2980,6498,0
223,Porte de Versailles,2.287841,48.832328,4932701,604,1732,2304,6419,0
224,Porte de Vincennes,2.407759,48.847326,3814464,605,1733,6664,4859,0
225,Porte des Lilas,2.406655,48.877183,4715395,606,1736,6936,2952,1
226,Porte d'Italie,2.360805,48.819196,6275922,607,1718,5052,6599,0
227,Porte d'Ivry,2.37043976783752,48.8209599240998,4363767,608,1719,5584,6627,0
228,Porte Dorée,2.40609973669052,48.8354814402337,3899020,609,1715,6468,5695,0
